bitcoin-marketcap_raw,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-30,difficulty-btc-rsi-90,difficulty-btc-roc-30,hashrate-btc-sma-90,hashrate-btc-std-90,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-30,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-var-14,mining_profitability-btc-trx-90,sentinusd-btc-ema-30,transactionfees-btc-sma-90,transactionfees-btc-ema-90,transactionfees-btc-std-90,transactionfees-btc-var-90,median_transaction_fee-btc-wma-30,median_transaction_fee-btc-std-14,median_transaction_fee-btc-trx-90,confirmationtime-btc-sma-90,confirmationtime-btc-wma-90,confirmationtime-btc-trx-90,marketcap-btc-wma-90,marketcap-btc-rsi-90,transactionvalue-btc-ema-30,transactionvalue-btc-std-30,transactionvalue-btc-std-90,transactionvalue-btc-var-30,transactionvalue-btc-var-90,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-var-90,mediantransactionvalue-btc-trx-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,transactions-btc-sma-30,transactions-btc-sma-90,transactions-btc-std-90,transactions-btc-var-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-90,top100cap-btc-trx-90,activeaddresses-btc-sma-90
5716373948,0.677,0.799,0.408,99.997,99.395,15.55,6.938227109191386e+17,3.247572957527672e+17,9.3387547716826e+33,2.6366825286163e+34,0.77,0.461,1.655,1.894,2.365,2.157,0.234,0.014,-0.062,3435122745,0.072,0.072,0.021,0.001,0.04,0.002,0.305,9.169,9.14,-0.042,6122950614,53.145,17083,49969.0,30189.0,624217516,227839831,1.003,112.642,3127.0,-0.482,0.37,0.034,193760,182890,54237,735405048,317934,325175,19.676,-0.021,382082
5650168188,0.666,0.794,0.413,99.997,99.395,15.55,7.001416786560812e+17,3.3088454567945395e+17,9.5448955312182e+33,2.7371145642375e+34,0.78,0.466,1.587,1.867,2.347,2.137,0.274,0.019,-0.065,3336766611,0.072,0.072,0.022,0.001,0.04,0.002,0.305,9.166,9.135,-0.042,6117481310,52.751,16560,49833.0,30185.0,620828812,227786895,1.032,115.348,3126.0,-0.468,0.386,0.037,196205,183290,54857,752324692,319465,327153,19.67,-0.021,383755
5667559811,0.652,0.788,0.418,99.997,99.395,15.55,7.05869923753053e+17,3.326660150126285e+17,9.5226762154246e+33,2.7666669386096e+34,0.788,0.471,1.594,1.858,2.324,2.123,0.26,0.017,-0.068,3209583266,0.072,0.073,0.021,0.001,0.039,0.002,0.303,9.151,9.11,-0.043,6112300126,52.844,15873,49744.0,30056.0,618610506,225834356,1.057,116.115,3090.0,-0.457,0.392,0.038,199507,183707,56038,785068777,324282,332341,19.663,-0.021,385629
5637534732,0.636,0.781,0.422,99.997,99.395,15.55,7.124165085440051e+17,3.363293897219371e+17,1.0325824507912e+34,2.8279364597683e+34,0.796,0.476,1.589,1.834,2.306,2.108,0.258,0.017,-0.071,3037162652,0.072,0.073,0.021,0.001,0.039,0.002,0.302,9.131,9.085,-0.043,6106593016,52.663,15047,49727.0,30082.0,618190940,226225313,1.077,116.278,3105.0,-0.45,0.393,0.039,199837,183800,56059,785646307,323120,331538,19.654,-0.021,386473
5732471156,0.617,0.774,0.427,99.997,99.395,15.55,7.198359608355506e+17,3.4232558267259974e+17,1.1850746364962e+34,2.9296701138034e+34,0.807,0.481,1.588,1.814,2.289,2.088,0.266,0.018,-0.075,2895867455,0.072,0.073,0.021,0.001,0.039,0.002,0.301,9.116,9.073,-0.043,6103020214,53.175,14378,49687.0,30089.0,617195155,226338724,1.093,117.493,3105.0,-0.44,0.393,0.039,200446,184175,56049,785371110,322662,331306,19.647,-0.021,386799
5878189534,0.596,0.766,0.431,99.997,99.395,15.55,7.261926201288486e+17,3.451533511565217e+17,1.1641922317071e+34,2.9782708953644e+34,0.817,0.487,1.597,1.805,2.274,2.077,0.218,0.012,-0.078,2791833305,0.072,0.073,0.021,0.001,0.039,0.002,0.299,9.096,9.041,-0.044,6102558524,53.949,13837,49614.0,30088.0,615393487,226316453,1.105,118.298,3072.0,-0.426,0.392,0.038,202224,184997,56268,791512142,323819,332606,19.641,-0.022,388091
5719660327,0.574,0.757,0.436,99.997,99.395,15.55,7.335335890499566e+17,3.496748734887548e+17,1.2074972968985e+34,3.0568129287344e+34,0.828,0.492,1.633,1.789,2.26,2.064,0.206,0.011,-0.082,2682164622,0.072,0.073,0.021,0.001,0.039,0.002,0.298,9.061,8.999,-0.044,6098522898,52.986,13290,49570.0,30088.0,614306321,226324148,1.114,119.295,3050.0,-0.409,0.39,0.038,203353,186014,55736,776617239,323988,332823,19.636,-0.022,389010
5725843416,0.593,0.753,0.44,99.999,99.604,35.177,7.434128584408084e+17,3.645409655701404e+17,1.6796663584189e+34,3.3222528894703e+34,0.847,0.498,1.579,1.753,2.238,2.043,0.263,0.017,-0.085,2577000925,0.072,0.073,0.021,0.001,0.039,0.002,0.296,9.044,8.98,-0.045,6094564810,53.019,12784,49500.0,30095.0,612552650,226428296,1.12,120.11,3039.0,-0.39,0.39,0.038,204379,186595,55717,776089260,324169,332997,19.631,-0.022,390061
5718164014,0.644,0.754,0.445,99.999,99.627,38.733,7.515988024461455e+17,3.729139816847501e+17,1.8654728271136e+34,3.4766209433994e+34,0.868,0.504,1.382,1.723,2.219,2.019,0.346,0.03,-0.089,2470250134,0.072,0.073,0.021,0.001,0.038,0.001,0.294,9.043,8.995,-0.046,6090363429,52.972,12243,49427.0,30106.0,610754927,226597200,1.123,123.685,3052.0,-0.362,0.394,0.039,205872,187293,56030,784834519,324377,333112,19.628,-0.022,390891
5683662489,0.711,0.759,0.45,99.999,99.627,38.733,7.587470184991596e+17,3.792209766749212e+17,1.9627918392226e+34,3.595213728757e+34,0.887,0.511,1.291,1.694,2.206,2.002,0.346,0.03,-0.093,2360315755,0.072,0.073,0.021,0.001,0.038,0.001,0.292,9.038,8.976,-0.046,6085309202,52.761,11686,49414.0,30125.0,610427634,226877261,1.123,127.69,3090.0,-0.322,0.392,0.038,208203,188096,56442,796431733,326138,334750,19.625,-0.022,392276
